"Name","Description"
"Gashmu","Gashmu, also known as Geshem, was an Arab leader who opposed the rebuilding of Jerusalem’s walls during the time of Nehemiah."
"Gazzam","Ancestor of temple servants who returned from Babylon, mentioned in Ezra and Nehemiah."
"Gedeon","Gedeon, also known as Gideon, was a judge of Israel who led a small army to victory over the Midianites, as recounted in the Book of Judges."
"Gehazi","Servant of Elisha, known for his greed and punishment with leprosy, mentioned in Kings."
"Gesham","Gesham, also known as Geshan, was a descendant of Caleb and is mentioned in the genealogies of the tribe of Judah."
"Geshem","Arabian who opposed Nehemiah’s efforts to rebuild Jerusalem, mentioned in Nehemiah."
"Gether","Descendant of Aram, mentioned in Genesis and Chronicles."
"Gibbar","Gibbar was a leader of the people who returned to Judah from the Babylonian exile, mentioned in the book of Ezra."
"Giddel","Ancestor of temple servants who returned from Babylon, mentioned in Ezra and Nehemiah."
"Gideon","Judge of Israel who defeated the Midianites with a small army, mentioned in Judges."
"Hadlai","Hadlai was one of the leaders of Ephraim who opposed King Ahaz of Judah’s decision to ally with Assyria."
"Haggai","Prophet who encouraged the rebuilding of the temple after the exile, mentioned in Ezra and the book of Haggai."
"Hakkoz","Hakkoz was the head of one of the priestly families in Israel, mentioned in the division of the priests by King David."
"Hamuel","Hamuel was a descendant of Judah, mentioned in the genealogies of the tribe in 1 Chronicles."
"Hanani","Brother of Nehemiah, mentioned in Nehemiah."
"Haniel","Haniel was a leader from the tribe of Asher, appointed by Moses to help divide the land of Canaan among the tribes."
"Hannah","Mother of Samuel, known for her prayer and vow."
"Hanoch","Son of Reuben, founder of the Hanochites, mentioned in Genesis and Numbers."
"Hareph","Hareph was a descendant of Caleb, mentioned in the genealogies of the tribe of Judah in 1 Chronicles."
"Harhas","Harhas was the grandfather of Shallum, the husband of Huldah the prophetess, mentioned in 2 Kings."
"Harhur","Ancestor of temple servants who returned from Babylon, mentioned in Ezra and Nehemiah."
"Haroeh","Haroeh was a descendant of Caleb, mentioned in the genealogies of the tribe of Judah in 1 Chronicles."
"Harsha","Ancestor of temple servants who returned from Babylon, mentioned in Ezra and Nehemiah."
"Hashem","Hashem was one of David’s mighty warriors, listed among the thirty men who served as his elite guard."
"Hashub","Levite who helped rebuild the wall of Jerusalem, mentioned in Nehemiah."
"Hashum","Ancestor of a family of returnees from Babylon, mentioned in Ezra and Nehemiah."
"Hasrah","Hasrah, also known as Harhas, was the grandfather of Shallum, the husband of Huldah the prophetess."
"Hatach","Servant of Queen Esther, mentioned in the book of Esther."
"Hatita","Gatekeeper in the temple, mentioned in Ezra and Nehemiah."
"Hattil","Ancestor of a family of temple servants, mentioned in Ezra and Nehemiah."
"Hazael","King of Aram who oppressed Israel, mentioned in Kings and Amos."
"Haziel","Haziel was a Levite mentioned in the genealogies of the tribe of Levi in 1 Chronicles."
"Heldai","One of David’s mighty warriors, also a leader of the temple craftsmen, mentioned in Chronicles and Zechariah."
"Helkai","Helkai was a priest who returned to Jerusalem after the Babylonian exile, mentioned in the Book of Nehemiah."
"Hemdan","Hemdan was a descendant of Seir the Horite, mentioned in the genealogies of the Horites in Genesis."
"Henoch","Another name for Enoch, mentioned in Genesis and Chronicles."
"Heresh","Heresh was a Levite mentioned in the genealogies of the tribe of Levi in 1 Chronicles."
"Hermas","Hermas was a Christian in Rome who is greeted by Paul in his letter to the Romans."
"Hermes","Hermes was a Christian in Rome who is greeted by Paul in his letter to the Romans."
"Hezeki","Hezeki was a descendant of Benjamin, mentioned in the genealogies of the tribe in 1 Chronicles."
"Hezion","Hezion was the father of Tabrimmon and the grandfather of Ben-Hadad, king of Aram, mentioned in 1 Kings."
"Hezrai","Hezrai was one of David’s mighty warriors, listed among the thirty men who served as his elite guard."
"Hezron","Descendant of Judah, ancestor of several clans, mentioned in Genesis and Chronicles."
"Hiddai","Hiddai was one of David’s mighty warriors, listed among the thirty men who served as his elite guard."
"Hillel","Father of Abdon, a judge of Israel, mentioned in Judges."
"Hodesh","Hodesh was the wife of Shaharaim, a descendant of Benjamin, mentioned in the genealogies of the tribe in 1 Chronicles."
"Hodiah","Hodiah was a descendant of Judah, mentioned in the genealogies of the tribe in 1 Chronicles."
"Hoglah","One of the daughters of Zelophehad, mentioned in Numbers and Joshua."
"Hophni","Son of Eli, known for his wickedness, mentioned in 1 Samuel."
"Hoshea","Last king of Israel before the Assyrian conquest, mentioned in Kings."
"Hotham","Hotham was a descendant of Asher, mentioned in the genealogies of the tribe in 1 Chronicles."
"Hothan","Hothan was a descendant of Asher, mentioned in the genealogies of the tribe in 1 Chronicles."
"Hothir","Son of Heman, one of the Levite musicians, mentioned in Chronicles."
"Huldah","Prophetess who confirmed the authenticity of the book of the law found during Josiah’s reign, mentioned in Kings and Chronicles."
"Hupham","Hupham was a descendant of Benjamin, the ancestor of the Huphamite clan, mentioned in the genealogies in Numbers."
"Huppah","Huppah was the head of one of the priestly courses established by King David, mentioned in 1 Chronicles."
"Huppim","Descendant of Benjamin, mentioned in Genesis and Chronicles."
"Hushah","Hushah was a descendant of Judah, mentioned in the genealogies of the tribe in 1 Chronicles."
"Hushai","Friend of David, served as a spy during Absalom’s rebellion, mentioned in Samuel."
"Husham","King of Edom, mentioned in Genesis and Chronicles."
"Hushim","Descendant of Benjamin, mentioned in Genesis and Chronicles."
"Huzzab","Huzzab is mentioned in the Book of Nahum as a figure associated with the downfall of Nineveh."
"Idbash","Idbash was a descendant of Judah, mentioned in the genealogies of the tribe in 1 Chronicles."
"Ikkesh","Father of Ira, one of David’s mighty warriors, mentioned in Samuel."
"Irijah","Officer who arrested the prophet Jeremiah, mentioned in Jeremiah."
"Isaiah","Prophet who authored the book of Isaiah, mentioned in Kings, Chronicles, and Isaiah."
"Ishbah","Ishbah was the father of Eshtemoa, a town in the territory of Judah mentioned in the genealogies of 1 Chronicles."
"Ishbak","Son of Abraham by Keturah, mentioned in Genesis and Chronicles."
"Ishiah","Ishiah was a descendant of the tribe of Benjamin, mentioned in the genealogies of the tribe in 1 Chronicles."
"Ishpan","Ishpan was a descendant of Benjamin, mentioned in the genealogies of the tribe in 1 Chronicles."
"Ishuai","Ishuai was a descendant of Asher, mentioned in the genealogies of the tribe in 1 Chronicles."
"Israel","Name given to Jacob after wrestling with God, father of the twelve tribes, mentioned throughout the Bible."
"Ithiel","Man to whom part of the book of Proverbs is addressed, mentioned in Proverbs."
"Ithmah","Ithmah was one of David’s mighty warriors, listed among the thirty men who served as his elite guard."
"Ithran","Descendant of Asher, mentioned in Chronicles."
"Izehar","Izehar was a descendant of Kohath, one of the clans of the Levites, mentioned in the genealogies in 1 Chronicles."
"Jaakan","Jaakan was a descendant of Seir the Horite, mentioned in the genealogies in the Book of Genesis."
"Jaalah","Jaalah was one of the Nethinim, a group of temple servants who returned to Jerusalem after the Babylonian exile."
"Jaalam","Son of Esau by Oholibamah, mentioned in Genesis and Chronicles."
"Jaanai","Jaanai was a descendant of Gad, mentioned in the genealogies of the tribe in 1 Chronicles."
"Jaasau","Jaasau was one of the men who had married foreign women during the time of Ezra and was called to repent."
"Jachan","Jachan was a descendant of Simeon, mentioned in the genealogies of the tribe in 1 Chronicles."
"Jachin","Priestly family, also the name of one of the pillars of Solomon’s temple, mentioned in Chronicles and Kings."
"Jaddua","High priest during the time of Nehemiah, mentioned in Nehemiah."
"Jahath","Levite who assisted in the reforms of King Josiah, mentioned in Chronicles."
"Jahdai","Jahdai was a descendant of Caleb, mentioned in the genealogies of the tribe in 1 Chronicles."
"Jahmai","Jahmai was a descendant of Manasseh, mentioned in the genealogies of the tribe in 1 Chronicles."
"Jairus","Synagogue leader whose daughter was raised from the dead by Jesus, mentioned in the Gospels."
"Jannes","Jannes was one of the magicians who opposed Moses in Egypt, mentioned in 2 Timothy."
"Janoah","Janoah was a city in the territory of Ephraim, mentioned in the conquests of Joshua."
"Japhia","King of Lachish defeated by Joshua, also the name of a son of David, mentioned in Joshua and Samuel."
"Jaroah","Jaroah was a descendant of Gad, mentioned in the genealogies of the tribe in 1 Chronicles."
"Jashen","Jashen was the father of some of David’s mighty warriors, mentioned in the list of David’s valiant men."
"Jasher","Possibly a reference to the ‘Book of Jasher,’ a lost biblical text, mentioned in Joshua and Samuel."
"Jashub","Descendant of Issachar, mentioned in Numbers and Chronicles."
"Jasiel","Jasiel was one of David’s mighty warriors, listed among the thirty men who served as his elite guard."
"Jeezer","Jeezer was a descendant of Manasseh, mentioned in the genealogies of the tribe in Numbers."
"Jehiah","Jehiah was a Levite who served as a doorkeeper of the ark during its transportation to Jerusalem."
"Jehiel","Name of several individuals, including a Levite musician, mentioned in Chronicles."
"Jehudi","Messenger sent by King Jehoiakim to fetch the scroll of Jeremiah, mentioned in Jeremiah."
"Jehush","Jehush was one of the sons of Esau, mentioned in the genealogies of the Edomites in Genesis."
"Jemima","Jemima was one of the daughters of Job, born to him after his trials and restoration."
"Jemuel","Descendant of Simeon, mentioned in Genesis and Exodus."
"Jeremy","Another name for Jeremiah, mentioned in the New Testament."
"Jeriah","Levite who oversaw the treasuries, mentioned in Chronicles."
"Jesher","Jesher was a descendant of Levi, mentioned in the genealogies of the tribe of Levi in 1 Chronicles."
"Jeshua","High priest who returned with Zerubbabel, mentioned in Chronicles, Ezra, and Nehemiah."
"Jesiah","Descendant of Simeon, mentioned in Chronicles."
"Jether","Name of several individuals, including a descendant of Esau, mentioned in Genesis and Chronicles."
"Jethro","Father-in-law of Moses, priest of Midian, mentioned in Exodus."
"Jeziah","Jeziah was one of the sons of Merari, mentioned in the genealogies of the Levites in 1 Chronicles."
"Jeziel","Jeziel was a descendant of Benjamin, mentioned in the genealogies of the tribe in 1 Chronicles."
"Jezoar","Jezoar was a descendant of Simeon, mentioned in the genealogies of the tribe in 1 Chronicles."
"Jibsam","Jibsam was a descendant of Issachar, mentioned in the genealogies of the tribe in 1 Chronicles."
"Jimnah","Jimnah was a descendant of Asher, mentioned in the genealogies of the tribe in Genesis."
"Joahaz","Joahaz was another name for Jehoahaz, a king of Judah who reigned briefly after the death of his father Josiah."
"Joanna","Follower of Jesus who supported His ministry, mentioned in the Gospels."
"Joelah","Joelah was one of the warriors who joined David at Ziklag, listed among the mighty men in 1 Chronicles."
"Joezer","Joezer was one of David’s mighty warriors, listed among the men who joined him at Ziklag in 1 Chronicles."
"Joiada","Name of several individuals, including a high priest during the reign of Joash, mentioned in Kings, Chronicles, and Nehemiah."
"Joktan","Descendant of Shem, mentioned in Genesis and Chronicles."
"Joseph","Son of Jacob and Rachel, known for his coat of many colors and his rise to power in Egypt, mentioned in Genesis."
"Joshah","Joshah was a descendant of Simeon, mentioned in the genealogies of the tribe in 1 Chronicles."
"Joshua","Successor of Moses, led the Israelites into the Promised Land, mentioned in the book of Joshua."
"Josiah","King of Judah known for his religious reforms, mentioned in Kings and Chronicles."
"Josias","Another name for Josiah, king of Judah, mentioned in the genealogy in Matthew."
"Jotham","King of Judah, known for his piety, mentioned in Kings and Chronicles."
"Judith","Judith was one of the wives of Esau, mentioned in the genealogies in Genesis."
"Julius","Roman centurion who escorted Paul to Rome, mentioned in Acts."
"Justus","Christian mentioned in the New Testament, known for his support of Paul, mentioned in Acts and Colossians."
"Kareah","Father of Johanan, a military leader after the fall of Jerusalem, mentioned in Jeremiah."
"Kelita","Levite who returned with Ezra, mentioned in Ezra and Nehemiah."
"Kemuel","Name of several individuals, including the father of Aram and a prince of Ephraim, mentioned in Genesis and Numbers."
"Kohath","Son of Levi, founder of the Kohathite clan, mentioned in Genesis, Exodus, and Chronicles."
"Laadah","Laadah was a descendant of Judah, mentioned in the genealogies of the tribe in 1 Chronicles."
"Laadan","Descendant of Levi, mentioned in Chronicles."
"Lamech","Descendant of Cain, known for his boastful speech, mentioned in Genesis."
"Lebana","Lebana was one of the Nethinim, a group of temple servants who returned to Jerusalem after the Babylonian exile."
"Lemuel","King mentioned in Proverbs, known for the advice his mother gave him."
"Loammi","Loammi was the son of the prophet Hosea, whose name means ‘not my people,’ symbolizing God’s rejection of Israel."
"Lucius","Christian mentioned in the New Testament, possibly a prophet or teacher, mentioned in Acts."
"Lysias","Roman commander who rescued Paul from a mob, mentioned in Acts."
"Maacah","Name of several individuals, including the wife of King David and the mother of King Asa, mentioned in Samuel and Kings."
"Maadai","Maadai was one of the men who had married foreign wives during the time of Ezra and was called to repent."
"Machir","Descendant of Manasseh, mentioned in Genesis and Chronicles."
"Mahali","Mahali was a descendant of Levi, mentioned in the genealogies of the tribe in 1 Chronicles."
"Mahath","Levite who assisted in the reforms of King Hezekiah, mentioned in Chronicles."
"Mahlah","One of the daughters of Zelophehad, known for petitioning for inheritance rights, mentioned in Numbers and Joshua."
"Mahlon","Son of Elimelech and Naomi, husband of Ruth, mentioned in the book of Ruth."
"Manaen","Manaen was a teacher and prophet in the church at Antioch, mentioned in the Book of Acts."
"Manoah","Father of Samson, mentioned in the book of Judges."
"Marcus","Roman name of John Mark, companion of Paul and Barnabas, mentioned in the Epistles."
"Martha","Sister of Mary and Lazarus, known for her hospitality to Jesus, mentioned in the Gospels."
"Matred","Mother of Mehetabel, mentioned in Genesis and Chronicles."
"Mehida","Ancestor of a family of temple servants who returned from exile, mentioned in Ezra and Nehemiah."
"Melchi","Ancestor of Jesus, mentioned in the genealogy in Luke."
"Melech","Descendant of Micah, mentioned in Chronicles."
"Melicu","Melicu was one of the priests who returned to Jerusalem after the Babylonian exile, mentioned in Nehemiah."
"Melzar","Steward of the king of Babylon, mentioned in the book of Daniel."
"Merari","Son of Levi, founder of the Merarite clan, mentioned in Genesis and Exodus."
"Meunim","The Meunim were a group of people who lived in the territory of Judah, mentioned in the list of those who returned from exile."
"Miamin","Priestly family, mentioned in Chronicles and Nehemiah."
"Mibhar","Mibhar was one of David’s mighty warriors, listed among the men who served as his elite guard."
"Mibsam","Descendant of Ishmael, mentioned in Genesis and Chronicles."
"Mibzar","Descendant of Esau, mentioned in Genesis and Chronicles."
"Michah","Alternate spelling of Micah, mentioned in the Old Testament."
"Michal","Daughter of King Saul, wife of David, known for her love and later disapproval of David, mentioned in Samuel."
"Michri","Michri was a descendant of Benjamin, mentioned in the genealogies of the tribe in 1 Chronicles."
"Midian","Son of Abraham by Keturah, ancestor of the Midianites, mentioned in Genesis and Exodus."
"Milcah","Daughter of Haran, wife of Nahor, mentioned in Genesis."
"Miriam","Sister of Moses and Aaron, prophetess, mentioned in Exodus and Numbers."
"Misham","Misham was a descendant of Benjamin, mentioned in the genealogies of the tribe in 1 Chronicles."
"Mishma","Descendant of Ishmael, mentioned in Genesis and Chronicles."
"Mizpar","Mizpar was one of the leaders who returned to Jerusalem after the Babylonian exile, mentioned in the Book of Ezra."
"Mizzah","Descendant of Seir, mentioned in Genesis and Chronicles."
"Mnason","Mnason was an early disciple of Jesus who provided hospitality to Paul and his companions during their journey to Jerusalem."
"Muppim","Muppim was one of the sons of Benjamin, mentioned in the genealogies of the tribe in Genesis."
"Naamah","Name of several individuals, including a wife of Solomon and a descendant of Cain, mentioned in Genesis and Kings."
"Naaman","Syrian commander healed of leprosy by Elisha, mentioned in Kings."
"Naarah","Wife of Ashur, mentioned in Chronicles."
"Naarai","Naarai was one of David’s mighty warriors, listed among the men who served as his elite guard."
"Naboth","Owner of a vineyard coveted by King Ahab, murdered at the instigation of Jezebel, mentioned in Kings."
"Nachon","Nachon was the owner of the threshing floor where Uzzah was struck down by God for touching the Ark of the Covenant."
"Nachor","Alternate spelling of Nahor, grandfather of Abraham, mentioned in Genesis."
"Nahari","Nahari was one of David’s mighty warriors, listed among the men who served as his elite guard."
"Nahash","Ammonite king who opposed Israel, mentioned in Samuel."
"Nahath","Descendant of Esau, mentioned in Genesis and Chronicles."
"Nathan","Prophet in the court of King David, known for confronting David about his sin with Bathsheba, mentioned in Samuel and Kings."
"Nekoda","Ancestor of a family of returnees from Babylon, mentioned in Ezra and Nehemiah."
"Nemuel","Descendant of Reuben, mentioned in Numbers and Chronicles."
"Nepheg","Son of Izhar, mentioned in Exodus and Chronicles."
"Nereus","Nereus was a Christian mentioned by Paul in his letter to the Romans, likely a member of the Roman church."
"Neriah","Father of Baruch, mentioned in Jeremiah."
"Neziah","Ancestor of a family of temple servants who returned from exile, mentioned in Ezra and Nehemiah."
"Nimrod","Mighty hunter before the Lord, associated with the founding of several cities, mentioned in Genesis."
"Nimshi","Father of Jehu, mentioned in Kings and Chronicles."
"Paarai","Paarai was one of David’s mighty warriors, listed among the men who served as his elite guard."
"Pagiel","Leader of the tribe of Asher during the Exodus, mentioned in Numbers."
"Parosh","Ancestor of a family of returnees from Babylon, mentioned in Ezra and Nehemiah."
"Paruah","Paruah was the father of Jehoshaphat, who served as one of King Solomon’s twelve district governors."
"Pasach","Pasach was a descendant of Esau, mentioned in the genealogies of the Edomites in Genesis."
"Paseah","Ancestor of a family of temple servants, mentioned in Ezra and Nehemiah."
"Pashur","Priest who opposed Jeremiah, mentioned in Jeremiah."
"Paulus","Paulus is another name for Paul, the apostle who spread the gospel to the Gentiles and authored many letters in the New Testament."
"Peleth","Descendant of Reuben, mentioned in Numbers."
"Peresh","Peresh was a descendant of Machir, the son of Manasseh, mentioned in the genealogies in 1 Chronicles."
"Perida","Perida was one of the families of temple servants who returned to Jerusalem after the Babylonian exile, mentioned in the Book of Nehemiah."
"Persis","Persis was a Christian woman mentioned by Paul in his letter to the Romans, noted for her hard work in the Lord."
"Peruda","Peruda was one of the families of temple servants who returned to Jerusalem after the Babylonian exile, mentioned in the Book of Nehemiah."
"Phalec","Phalec, also known as Peleg, was a descendant of Shem, mentioned in the genealogies in Genesis."
"Phallu","Phallu was the second son of Reuben, mentioned in the genealogies of the tribe in Genesis."
"Phalti","Phalti was the son of Laish who was given Michal, David’s wife, by King Saul after David fled from Saul, mentioned in 1 Samuel."
"Pharah","Pharah was a descendant of Judah, mentioned in the genealogies of the tribe in 1 Chronicles."
"Phares","Alternate spelling of Perez, mentioned in the genealogy in Matthew."
"Pharez","Another name for Perez, son of Judah, mentioned in Genesis and Chronicles."
"Philip","Name of several individuals, including one of the apostles and an evangelist, mentioned in the Gospels and Acts."
"Phurah","Servant of Gideon, mentioned in Judges."
"Phuvah","Phuvah was one of the sons of Issachar, mentioned in the genealogies of the tribe in Genesis."
"Pilate","Roman governor who presided over the trial of Jesus, mentioned in the Gospels."
"Pileha","Pileha was one of the leaders who signed the covenant to follow God’s law during the time of Nehemiah."
"Piltai","Piltai was a priest who returned to Jerusalem after the Babylonian exile, mentioned in the Book of Nehemiah."
"Pispah","Pispah was a descendant of Manasseh, mentioned in the genealogies of the tribe in 1 Chronicles."
"Pithon","Descendant of Benjamin, mentioned in Chronicles."
"Prisca","Prisca, also known as Priscilla, was a Christian woman who, along with her husband Aquila, worked closely with Paul in ministry, mentioned in the Book of Acts."
"Pudens","Pudens was a Christian mentioned by Paul in his second letter to Timothy, likely a member of the early Roman church."
"Putiel","Putiel was the father-in-law of Eleazar, the son of Aaron, mentioned in the Book of Exodus."
"Raamah","Descendant of Cush, mentioned in Genesis and Chronicles."
"Rabmag","Title of a Babylonian official, mentioned in Jeremiah."
"Rachel","Wife of Jacob, mother of Joseph and Benjamin, mentioned in Genesis."
"Raddai","Raddai was one of the sons of Jesse, the father of King David, mentioned in the genealogies in 1 Chronicles."
"Raguel","Raguel was the father-in-law of Moses, also known as Jethro, who advised Moses on the administration of justice, mentioned in the Book of Exodus."
"Ramiah","Ramiah was one of the men who had married foreign wives during the time of Ezra and was called to repent."
"Reaiah","Name of several individuals, including a descendant of Judah, mentioned in Chronicles."
"Rechab","Leader of the Rechabites, known for their vow of abstinence, mentioned in Kings and Jeremiah."
"Rephah","Rephah was a descendant of Ephraim, mentioned in the genealogies of the tribe in 1 Chronicles."
"Reuben","Firstborn son of Jacob and Leah, founder of the tribe of Reuben, mentioned throughout the Bible."
"Reumah","Reumah was a concubine of Nahor, the brother of Abraham, mentioned in the genealogies in Genesis."
"Rimmon","Name of a god worshipped by the Syrians, also the name of several towns, mentioned in Kings and Chronicles."
"Rinnah","Rinnah was a descendant of Judah, mentioned in the genealogies of the tribe in 1 Chronicles."
"Rizpah","Concubine of King Saul, known for her mourning over her sons, mentioned in Samuel."
"Roboam","Roboam is another name for Rehoboam, the son of Solomon and the first king of the southern kingdom of Judah."
"Rohgah","Rohgah was a descendant of Gad, mentioned in the genealogies of the tribe in 1 Chronicles."
"Sabtah","Sabtah was one of the sons of Cush, mentioned in the genealogies of the nations in Genesis."
"Sallai","Levite who returned from Babylon, mentioned in Nehemiah."
"Salmon","Father of Boaz, husband of Rahab, mentioned in Matthew and Luke."
"Salome","Follower of Jesus, present at the crucifixion and resurrection, mentioned in Mark."
"Samlah","King of Edom, mentioned in Genesis and Chronicles."
"Samson","Judge of Israel known for his strength and his downfall due to Delilah, mentioned in Judges."
"Samuel","Prophet who anointed the first two kings of Israel, mentioned in the books of Samuel."
"Sargon","Sargon was a king of Assyria who captured Samaria and carried the Israelites into exile, mentioned in the Book of Isaiah."
"Saruch","Saruch, also known as Serug, was a descendant of Shem and an ancestor of Abraham, mentioned in the genealogies in Genesis."
"Senuah","Senuah was a leader of the Benjamites who returned to Jerusalem after the Babylonian exile, mentioned in the Book of Nehemiah."
"Seorim","Seorim was a priest who served in the temple during the time of King David, mentioned in 1 Chronicles."
"Sethur","Sethur was one of the twelve spies sent by Moses to explore the land of Canaan, representing the tribe of Asher."
"Shaaph","Descendant of Judah, mentioned in Chronicles."
"Shamed","Descendant of Benjamin, mentioned in Chronicles."
"Shamer","Name of several individuals, including a descendant of Asher, mentioned in Chronicles."
"Shamir","Town in the territory of Judah, mentioned in Joshua and Chronicles."
"Shamma","Shamma was a descendant of Asher, mentioned in the genealogies of the tribe in 1 Chronicles."
"Sharai","Sharai was one of the men who had married foreign wives during the time of Ezra and was called to repent."
"Sharar","Sharar was the father of Ahiam, one of David’s mighty warriors, mentioned in the list of David’s valiant men."
"Shebam","Shebam was a town in the territory of Gad, mentioned in the context of the conquest of Canaan."
"Sheber","Sheber was a descendant of Caleb, mentioned in the genealogies of the tribe of Judah in 1 Chronicles."
"Shebna","Steward of King Hezekiah, mentioned in Kings and Isaiah."
"Shelah","Third son of Judah, mentioned in Genesis and Chronicles."
"Shephi","Shephi was a descendant of Esau, mentioned in the genealogies of the Edomites in Genesis."
"Shepho","Shepho was a descendant of Esau, mentioned in the genealogies of the Edomites in Genesis."
"Sherah","Sherah was a daughter of Ephraim who built the towns of Lower and Upper Beth-horon, mentioned in 1 Chronicles."
"Shilhi","Father of Azubah, mother of King Jehoshaphat, mentioned in Kings and Chronicles."
"Shimea","Name of several individuals, including a son of David, mentioned in Chronicles."
"Shimei","Name of several individuals, including a descendant of Benjamin, mentioned in Samuel, Kings, and Chronicles."
"Shimhi","Shimhi was a descendant of Simeon, mentioned in the genealogies of the tribe in 1 Chronicles."
"Shimma","Shimma was a descendant of Benjamin, mentioned in the genealogies of the tribe in 1 Chronicles."
"Shimon","Shimon was a descendant of Judah, mentioned in the genealogies of the tribe in 1 Chronicles."
"Shimri","Name of several individuals, including a descendant of Simeon, mentioned in Chronicles."
"Shinab","Shinab was the king of Admah who joined a coalition of kings against Chedorlaomer, mentioned in the Book of Genesis."
"Shiphi","Shiphi was a descendant of Judah, mentioned in the genealogies of the tribe in 1 Chronicles."
"Shisha","Shisha was the father of Elihoreph and Ahijah, who served as scribes in the court of King Solomon."
"Shobab","Son of David and Bathsheba, mentioned in Samuel and Chronicles."
"Shobai","Leader of the temple servants who returned from Babylon, mentioned in Ezra and Nehemiah."
"Shobal","Descendant of Seir, mentioned in Genesis and Chronicles."
"Shobek","Shobek was one of the leaders who sealed the covenant to follow God’s law during the time of Nehemiah, mentioned in Nehemiah."
"Shoham","Shoham was a Levite, mentioned in the genealogies of the tribe of Levi in 1 Chronicles."
"Shomer","Descendant of Asher, mentioned in Chronicles."
"Shuham","Shuham was the founder of the Shuhamites, a clan of the tribe of Benjamin, mentioned in the Book of Numbers."
"Simeon","Second son of Jacob and Leah, founder of the tribe of Simeon, mentioned in Genesis and throughout the Bible."
"Sippai","Sippai was a descendant of the giants who was slain by Sibbecai the Hushathite, mentioned in 1 Chronicles."
"Sisera","Canaanite commander defeated by Deborah and Barak, killed by Jael, mentioned in Judges."
"Sochoh","Sochoh was another name for Socho, a town in the territory of Judah, where the Philistines gathered for battle against Israel."
"Tabeal","Tabeal was a man whose son was proposed by Rezin and Pekah to be king of Judah, mentioned in the Book of Isaiah."
"Tabeel","Tabeel was the son of Tabeal, mentioned as a puppet king proposed by the enemies of Judah, mentioned in the Book of Isaiah."
"Tahrea","Tahrea was a descendant of Caleb, mentioned in the genealogies of the tribe of Judah in 1 Chronicles."
"Talmai","Name of several individuals, including a giant defeated by David’s men and the father of Maacah, mentioned in Genesis, Numbers, and Chronicles."
"Talmon","Levite gatekeeper, mentioned in Ezra and Nehemiah."
"Tartan","Assyrian title for a commander, mentioned in 2 Kings and Isaiah."
"Tatnai","Persian governor who opposed the rebuilding of the temple, mentioned in Ezra."
"Temeni","Temeni was a descendant of Asher, mentioned in the genealogies of the tribe in 1 Chronicles."
"Teresh","One of the eunuchs who conspired to assassinate King Ahasuerus, mentioned in Esther."
"Thamah","Thamah was one of the families of temple servants who returned to Jerusalem after the Babylonian exile, mentioned in the Book of Nehemiah."
"Thamar","Thamar, also known as Tamar, was the daughter-in-law of Judah who bore him twin sons, Perez and Zerah, mentioned in the Book of Genesis."
"Thomas","One of the twelve apostles, also known as ‘Doubting Thomas,’ mentioned in the Gospels."
"Tikvah","Father of Shallum, mentioned in Kings."
"Tirzah","Daughter of Zelophehad who petitioned for inheritance rights, also the name of a town in Israel, mentioned in Numbers and Kings."
"Tobiah","Ammonite official who opposed the rebuilding of Jerusalem, mentioned in Nehemiah."
"Urbane","Urbane, also known as Urbanus, was a Christian mentioned by Paul in his letter to the Romans, noted as a fellow worker in Christ."
"Urijah","Name of several individuals, including a priest, mentioned in Kings and Isaiah."
"Uzziah","King of Judah who reigned for 52 years, known for his pride and downfall, mentioned in Kings, Chronicles, and Isaiah."
"Uzziel","Son of Kohath, descendant of Levi, mentioned in Exodus and Chronicles."
"Vaniah","Vaniah was one of the men who had married foreign wives during the time of Ezra and was called to repent, mentioned in the Book of Ezra."
"Vashni","Vashni was the firstborn son of Samuel, but the text in 1 Chronicles suggests that Joel was actually the firstborn."
"Vashti","Queen of Persia who was deposed for refusing King Ahasuerus, mentioned in the book of Esther."
"Vophsi","Vophsi was the father of Nahbi, one of the twelve spies sent by Moses to explore the land of Canaan, representing the tribe of Naphtali."
"Zaavan","Zaavan was a descendant of Seir the Horite, mentioned in the genealogies in the Book of Genesis."
"Zabbai","Ancestor of a family who returned from Babylon, mentioned in Ezra and Nehemiah."
"Zabbud","Zabbud was one of the men who returned to Jerusalem after the Babylonian exile, mentioned in the Book of Ezra."
"Zaccur","Name of several individuals, including a leader of the tribe of Reuben, mentioned in Numbers and Nehemiah."
"Zacher","Zacher was a descendant of Benjamin, mentioned in the genealogies of the tribe in 1 Chronicles."
"Zalaph","Zalaph was the father of Shallum, who helped repair the walls of Jerusalem during the time of Nehemiah, mentioned in the Book of Nehemiah."
"Zatthu","Zatthu was one of the leaders who returned to Jerusalem after the Babylonian exile, mentioned in the Book of Ezra."
"Zebina","Zebina was one of the men who returned to Jerusalem after the Babylonian exile, mentioned in the Book of Ezra."
"Zemira","Zemira was a descendant of Benjamin, mentioned in the genealogies of the tribe in 1 Chronicles."
"Zephon","Zephon was a descendant of Gad, mentioned in the genealogies of the tribe in Genesis."
"Zeresh","Wife of Haman, known for advising him to build gallows for Mordecai, mentioned in Esther."
"Zereth","Zereth was a descendant of Judah, mentioned in the genealogies of the tribe in 1 Chronicles."
"Zeruah","Zeruah was the mother of Jeroboam, the first king of the northern kingdom of Israel, mentioned in 1 Kings."
